prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,aaccepted,wcompleteapplication,aaccepted,osentonlineonly,adenied,ocreated,osentmailandonline,ocancelled,wcallafteroffers,wcallafteroffers,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wassesspotentialfraud,ocreateoffer,acancelled,aaccepted,wcallafteroffers,wassesspotentialfraud,ocancelled,ocancelled,ocreateoffer,wcallafteroffers,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,aaccepted,wcompleteapplication,acancelled,osentonlineonly,ocreateoffer,ocreated,0,ocreated,ocreated,orefused,5.0,20,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,wcompleteapplication,wcompleteapplication,acancelled,aconcept,adenied,osentmailandonline,wcompleteapplication,acancelled,osentmailandonline,orefused,5.0,20,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,aaccepted,wassesspotentialfraud,adenied,aconcept,wcompleteapplication,aconcept,osentmailandonline,wcompleteapplication,osentmailandonline,5.0,20,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,wassesspotentialfraud,aaccepted,aaccepted,wcallafteroffers,aaccepted,ocreateoffer,wcompleteapplication,wcallafteroffers,wcallafteroffers,10.0,20,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wassesspotentialfraud,wcompleteapplication,adenied,adenied,ocreated,ocreateoffer,ocreateoffer,wcallafteroffers,wcompleteapplication,10.0,20,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,aconcept,wassesspotentialfraud,ocancelled,aaccepted,aaccepted,osentmailandonline,wcompleteapplication,wcompleteapplication,acomplete,ocreateoffer,10.0,20,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,wassesspotentialfraud,wassesspotentialfraud,aconcept,aaccepted,wcallafteroffers,aaccepted,ocreateoffer,orefused,wcallafteroffers,wcallafteroffers,10.0,20,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,wassesspotentialfraud,ocreateoffer,adenied,orefused,acancelled,orefused,wassesspotentialfraud,ocancelled,ocreateoffer,ocancelled,10.0,20,9,BPIC17_O_ACCEPTED,xgboost
