prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,prefix_26,prefix_27,prefix_28,prefix_29,prefix_30,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,wcompleteapplication,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,oreturned,5.0,19,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,ocreated,aaccepted,aconcept,wcallafteroffers,acancelled,ocreated,0,osentonlineonly,aconcept,wcallafteroffers,wcompleteapplication,wcallafteroffers,ocancelled,aincomplete,aconcept,aincomplete,avalidating,ocancelled,oreturned,wcallincompletefiles,avalidating,avalidating,aincomplete,aaccepted,5.0,19,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,aaccepted,aconcept,wcompleteapplication,ocreateoffer,ocreated,acancelled,0,ocancelled,aconcept,wcallafteroffers,aaccepted,orefused,aaccepted,aincomplete,aaccepted,wcallafteroffers,wcompleteapplication,0,oreturned,wcompleteapplication,avalidating,wcompleteapplication,ocreateoffer,oreturned,5.0,19,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,aaccepted,aconcept,aconcept,ocreateoffer,wcompleteapplication,adenied,0,ocreateoffer,aconcept,wvalidateapplication,wcompleteapplication,wcallafteroffers,ocancelled,aincomplete,ocancelled,wcallafteroffers,ocreateoffer,0,apending,wcompleteapplication,avalidating,wcompleteapplication,aincomplete,oreturned,5.0,19,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,oreturned,10.0,19,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,aconcept,ocreateoffer,ocancelled,wassesspotentialfraud,ocreated,aconcept,wshortenedcompletion,ocreated,adenied,0,acancelled,avalidating,wcallafteroffers,oreturned,aincomplete,apending,0,acancelled,0,ocancelled,apending,osentmailandonline,aaccepted,acancelled,10.0,19,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,wassesspotentialfraud,wcompleteapplication,adenied,ocreated,osentonlineonly,ocreated,aaccepted,ocancelled,osentmailandonline,wcompleteapplication,acancelled,aaccepted,wcallafteroffers,wcallafteroffers,apending,aincomplete,acomplete,acancelled,0,acomplete,adenied,0,apending,wvalidateapplication,wassesspotentialfraud,10.0,19,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aconcept,wcompleteapplication,osentmailandonline,ocancelled,wassesspotentialfraud,wshortenedcompletion,aconcept,osentmailandonline,ocreated,adenied,acancelled,ocancelled,wcallincompletefiles,wcallafteroffers,aaccepted,wcallafteroffers,apending,ocreated,acancelled,aaccepted,ocancelled,apending,wvalidateapplication,aaccepted,oaccepted,10.0,19,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aconcept,aconcept,aconcept,aconcept,osentonlineonly,ocreated,aaccepted,ocancelled,osentmailandonline,adenied,acancelled,aaccepted,wassesspotentialfraud,wcallafteroffers,apending,aincomplete,wcompleteapplication,acancelled,acancelled,acomplete,aincomplete,0,apending,wvalidateapplication,osentmailandonline,10.0,19,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,ocreateoffer,ocreated,osentmailandonline,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,15.0,19,9,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,oreturned,15.0,19,10,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,adenied,aconcept,ocreateoffer,ocreated,ocreateoffer,ocreated,osentmailandonline,0,acomplete,wcallafteroffers,wcallafteroffers,ocancelled,avalidating,0,ocreateoffer,acancelled,ocreated,aincomplete,wcallafteroffers,wassesspotentialfraud,wvalidateapplication,avalidating,15.0,19,11,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,ocreated,adenied,aconcept,adenied,ocreated,adenied,ocreated,osentmailandonline,ocancelled,acomplete,aaccepted,wcallafteroffers,ocancelled,avalidating,apending,acancelled,acancelled,acancelled,wassesspotentialfraud,wcallafteroffers,oreturned,wvalidateapplication,wcallincompletefiles,15.0,19,12,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,adenied,aconcept,ocreated,acomplete,osentmailandonline,orefused,osentmailandonline,avalidating,avalidating,aconcept,avalidating,aaccepted,avalidating,acancelled,ocreateoffer,acancelled,aaccepted,apending,wvalidateapplication,ocreateoffer,wvalidateapplication,avalidating,15.0,19,13,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,ocreateoffer,ocreated,osentmailandonline,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,20.0,19,14,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,oreturned,20.0,19,15,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,aconcept,wcompleteapplication,aaccepted,osentonlineonly,adenied,osentmailandonline,wcompleteapplication,wcallafteroffers,ocancelled,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,oreturned,wassesspotentialfraud,wcallafteroffers,ocancelled,aconcept,ocancelled,avalidating,wcompleteapplication,wvalidateapplication,avalidating,oaccepted,20.0,19,16,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,aconcept,ocreateoffer,ocreateoffer,acancelled,ocreateoffer,aaccepted,orefused,acomplete,acancelled,avalidating,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,avalidating,wcallincompletefiles,oaccepted,0,0,0,wcallincompletefiles,apending,wvalidateapplication,aconcept,20.0,19,17,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,ocreateoffer,ocreateoffer,aconcept,aconcept,ocreated,ocreateoffer,ocreated,osentmailandonline,ocancelled,wcallafteroffers,oreturned,wcallafteroffers,acomplete,aincomplete,avalidating,0,oaccepted,ocreateoffer,oaccepted,osentmailandonline,wcallafteroffers,aincomplete,wvalidateapplication,ocreated,20.0,19,18,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,wcompleteapplication,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,wvalidateapplication,wvalidateapplication,avalidating,oreturned,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,ocreated,aaccepted,aconcept,wcallafteroffers,acancelled,ocreated,0,osentonlineonly,aconcept,wcallafteroffers,wcompleteapplication,wcallafteroffers,ocancelled,aincomplete,aconcept,aincomplete,avalidating,ocancelled,oreturned,wcallincompletefiles,avalidating,avalidating,aincomplete,aaccepted,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
