prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,wassesspotentialfraud,wcompleteapplication,ocancelled,aaccepted,aconcept,osentonlineonly,osentmailandonline,wcompleteapplication,wcallafteroffers,aaccepted,acancelled,0,wshortenedcompletion,osentmailandonline,orefused,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aaccepted,wcompleteapplication,ocancelled,aaccepted,osentonlineonly,wassesspotentialfraud,osentmailandonline,wcompleteapplication,wcallafteroffers,aaccepted,0,0,wshortenedcompletion,osentmailandonline,orefused,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aaccepted,ocreated,aaccepted,osentonlineonly,aconcept,wassesspotentialfraud,osentmailandonline,wcompleteapplication,wcallafteroffers,aaccepted,0,aconcept,0,osentmailandonline,oaccepted,5.0,20,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,aconcept,aaccepted,aconcept,ocreateoffer,aaccepted,osentonlineonly,ocreateoffer,wshortenedcompletion,ocreated,aconcept,wcallafteroffers,aaccepted,ocreateoffer,wvalidateapplication,0,acomplete,wcompleteapplication,5.0,20,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,aaccepted,wcompleteapplication,wcompleteapplication,wcompleteapplication,wcompleteapplication,wcompleteapplication,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,5.0,20,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,ocreated,aaccepted,aaccepted,ocancelled,whandleleads,wassesspotentialfraud,wshortenedcompletion,wcallafteroffers,wcallafteroffers,orefused,ocancelled,wcallafteroffers,osentmailandonline,aincomplete,10.0,20,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,ocreateoffer,ocreated,osentmailandonline,aconcept,wcallafteroffers,osentonlineonly,acomplete,ocancelled,whandleleads,aconcept,aconcept,orefused,wvalidateapplication,ocreated,wcallafteroffers,10.0,20,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,aaccepted,wcompleteapplication,aconcept,aaccepted,whandleleads,wcallafteroffers,ocancelled,acomplete,adenied,wcallafteroffers,ocancelled,adenied,wcompleteapplication,wcallafteroffers,oaccepted,wvalidateapplication,10.0,20,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,aconcept,aaccepted,aconcept,ocreateoffer,aaccepted,osentonlineonly,ocreateoffer,wshortenedcompletion,ocreated,aconcept,wcallafteroffers,aaccepted,ocreateoffer,wvalidateapplication,0,acomplete,wcompleteapplication,10.0,20,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,ocancelled,ocancelled,ocreated,ocancelled,aaccepted,wcallafteroffers,wcallafteroffers,ocreated,osentmailandonline,10.0,20,9,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,aaccepted,ocreateoffer,wcompleteapplication,wcompleteapplication,osentonlineonly,wcompleteapplication,acancelled,wcallafteroffers,wcallafteroffers,acomplete,ocancelled,wcallafteroffers,wcallafteroffers,aconcept,15.0,20,10,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,aaccepted,ocreateoffer,wcompleteapplication,wcompleteapplication,ocancelled,wassesspotentialfraud,acancelled,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wcallafteroffers,ocreateoffer,wcallafteroffers,15.0,20,11,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aaccepted,wassesspotentialfraud,osentmailandonline,ocancelled,ocreateoffer,wcallafteroffers,ocancelled,ocreated,wcallafteroffers,adenied,acomplete,wcallafteroffers,adenied,wshortenedcompletion,aincomplete,15.0,20,12,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,aaccepted,wassesspotentialfraud,osentmailandonline,ocreateoffer,wassesspotentialfraud,wcallafteroffers,acomplete,ocreated,wcallafteroffers,ocancelled,acomplete,adenied,adenied,wshortenedcompletion,aincomplete,15.0,20,13,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,wcompleteapplication,wassesspotentialfraud,wshortenedcompletion,aaccepted,aconcept,wcompleteapplication,ocancelled,acancelled,wcallafteroffers,wcallafteroffers,ocancelled,wcallafteroffers,ocreated,oaccepted,apending,15.0,20,14,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,ocreateoffer,aconcept,aconcept,aconcept,ocreateoffer,aconcept,acomplete,wcompleteapplication,wcallafteroffers,wcallafteroffers,aaccepted,ocancelled,wcallafteroffers,ocreated,ocreated,20.0,20,15,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,wcompleteapplication,aaccepted,osentmailandonline,aaccepted,wcallafteroffers,ocancelled,whandleleads,wcallafteroffers,wcallafteroffers,ocancelled,ocancelled,wcallafteroffers,acomplete,wcallafteroffers,aconcept,20.0,20,16,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aaccepted,wcompleteapplication,aconcept,aaccepted,ocreateoffer,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,0,acomplete,0,ocreated,wassesspotentialfraud,20.0,20,17,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,ocreateoffer,aconcept,aaccepted,ocreateoffer,ocreateoffer,osentmailandonline,ocancelled,adenied,wcallafteroffers,wcallafteroffers,whandleleads,0,wcallafteroffers,oreturned,wcallafteroffers,20.0,20,18,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,ocreateoffer,aconcept,aconcept,ocreateoffer,ocreateoffer,osentmailandonline,wcompleteapplication,adenied,wcallafteroffers,wcallafteroffers,0,ocancelled,wcallafteroffers,oreturned,wcallafteroffers,20.0,20,19,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,ocreated,ocancelled,aaccepted,ocreateoffer,wassesspotentialfraud,ocancelled,ocancelled,wcallafteroffers,ocreateoffer,acomplete,aaccepted,wshortenedcompletion,osentmailandonline,apending,5.0,21,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,wassesspotentialfraud,wcompleteapplication,ocancelled,aaccepted,aconcept,osentonlineonly,osentmailandonline,wcompleteapplication,wcallafteroffers,aaccepted,acancelled,0,wshortenedcompletion,osentmailandonline,orefused,5.0,21,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,aaccepted,ocancelled,whandleleads,aconcept,wcallafteroffers,ocancelled,wcallafteroffers,wcallafteroffers,ocreateoffer,acomplete,aaccepted,wshortenedcompletion,osentmailandonline,oaccepted,5.0,21,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,wassesspotentialfraud,wcompleteapplication,ocreateoffer,wcompleteapplication,wassesspotentialfraud,wassesspotentialfraud,ocancelled,wcallafteroffers,wcallafteroffers,aaccepted,acomplete,0,wshortenedcompletion,osentmailandonline,apending,5.0,21,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,wassesspotentialfraud,wcompleteapplication,ocancelled,wcompleteapplication,aconcept,ocreated,ocancelled,wcallafteroffers,wcallafteroffers,aaccepted,acancelled,0,wshortenedcompletion,osentmailandonline,apending,5.0,21,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,aaccepted,wcompleteapplication,aconcept,aaccepted,whandleleads,wcallafteroffers,ocancelled,acomplete,adenied,wcallafteroffers,ocancelled,adenied,wcompleteapplication,wcallafteroffers,oaccepted,wvalidateapplication,10.0,21,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,ocreated,aaccepted,aaccepted,ocancelled,whandleleads,wassesspotentialfraud,wshortenedcompletion,wcallafteroffers,wcallafteroffers,orefused,ocancelled,wcallafteroffers,osentmailandonline,aincomplete,10.0,21,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,ocreateoffer,ocreated,osentmailandonline,aconcept,wcallafteroffers,osentonlineonly,acomplete,ocancelled,whandleleads,aconcept,aconcept,orefused,wvalidateapplication,ocreated,wcallafteroffers,10.0,21,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,aconcept,aaccepted,ocreateoffer,ocreated,wcompleteapplication,wshortenedcompletion,wcompleteapplication,acancelled,avalidating,0,wcallafteroffers,wcallafteroffers,wcallafteroffers,10.0,21,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,ocancelled,ocancelled,ocreated,ocancelled,aaccepted,wcallafteroffers,wcallafteroffers,ocreated,osentmailandonline,10.0,21,9,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,aaccepted,ocreateoffer,wcompleteapplication,wcompleteapplication,ocancelled,wassesspotentialfraud,acancelled,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wcallafteroffers,ocreateoffer,wcallafteroffers,15.0,21,10,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,ocreateoffer,aconcept,osentonlineonly,wcompleteapplication,ocreateoffer,ocancelled,ocreated,ocancelled,wcallafteroffers,wcallafteroffers,wcallafteroffers,orefused,ocancelled,ocreated,acomplete,15.0,21,11,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,aaccepted,ocreated,wcompleteapplication,osentmailandonline,ocreateoffer,wcompleteapplication,acomplete,acancelled,acancelled,wassesspotentialfraud,wcallafteroffers,ocancelled,oreturned,oreturned,wvalidateapplication,15.0,21,12,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,wcompleteapplication,ocreateoffer,aconcept,ocancelled,wshortenedcompletion,aaccepted,ocreated,wcallafteroffers,ocancelled,wcallafteroffers,ocancelled,avalidating,avalidating,oreturned,0,aincomplete,15.0,21,13,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,aconcept,aconcept,osentonlineonly,wassesspotentialfraud,wassesspotentialfraud,wassesspotentialfraud,ocancelled,ocancelled,wcallafteroffers,acomplete,wvalidateapplication,aaccepted,oreturned,wcallincompletefiles,avalidating,15.0,21,14,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,ocreated,aconcept,ocreateoffer,wcompleteapplication,wcompleteapplication,ocreated,wcompleteapplication,wcallafteroffers,wcallafteroffers,wassesspotentialfraud,0,aconcept,wcallafteroffers,wcallafteroffers,20.0,21,15,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,ocreateoffer,aconcept,ocreated,wcompleteapplication,wcompleteapplication,acomplete,wcallafteroffers,wcallafteroffers,orefused,acomplete,0,wcallincompletefiles,wshortenedcompletion,wcallafteroffers,20.0,21,16,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aaccepted,ocreated,ocreateoffer,aaccepted,aconcept,wcompleteapplication,wcallafteroffers,wassesspotentialfraud,wcallafteroffers,ocancelled,wcallafteroffers,ocreated,aconcept,wcallafteroffers,wvalidateapplication,20.0,21,17,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,aaccepted,aconcept,ocreateoffer,osentonlineonly,osentonlineonly,wassesspotentialfraud,wcompleteapplication,wcallafteroffers,wcallafteroffers,wassesspotentialfraud,0,aconcept,wcallafteroffers,wcallafteroffers,20.0,21,18,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,aconcept,aconcept,aaccepted,wcompleteapplication,ocreateoffer,aconcept,wcallafteroffers,wcompleteapplication,wcallafteroffers,aconcept,aaccepted,wshortenedcompletion,aaccepted,wcallafteroffers,wcallafteroffers,20.0,21,19,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,wassesspotentialfraud,ocreateoffer,0,acancelled,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wvalidateapplication,oreturned,aincomplete,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,0,ocreateoffer,0,aaccepted,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wvalidateapplication,oreturned,aincomplete,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,0,ocreateoffer,0,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wvalidateapplication,oreturned,aincomplete,5.0,20,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,0,ocreateoffer,0,aaccepted,wcompleteapplication,wcallafteroffers,wcallafteroffers,0,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wvalidateapplication,oreturned,oaccepted,5.0,20,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,0,ocreateoffer,0,aaccepted,wcompleteapplication,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,ocancelled,wvalidateapplication,oreturned,aincomplete,5.0,20,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,0,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,osentmailandonline,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,adenied,wvalidateapplication,avalidating,acomplete,10.0,20,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,0,ocreateoffer,0,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,orefused,wvalidateapplication,avalidating,oaccepted,10.0,20,6,BPIC17_O_ACCEPTED,xgboost
