prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,ocreated,aaccepted,wshortenedcompletion,aaccepted,wcompleteapplication,wcallafteroffers,aconcept,wcallafteroffers,ocancelled,aaccepted,oreturned,aconcept,wcallafteroffers,wcallafteroffers,acancelled,0,oaccepted,aincomplete,oreturned,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,aconcept,ocreateoffer,aaccepted,wshortenedcompletion,aconcept,aconcept,wcallafteroffers,wcompleteapplication,acomplete,ocancelled,orefused,wcallafteroffers,aaccepted,ocreateoffer,wcallafteroffers,acancelled,ocreateoffer,oaccepted,wcallafteroffers,oreturned,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,ocreateoffer,wassesspotentialfraud,aconcept,wshortenedcompletion,wshortenedcompletion,aconcept,wcallafteroffers,acomplete,acomplete,wcallafteroffers,aaccepted,wcallafteroffers,wcompleteapplication,ocreateoffer,wcallafteroffers,acancelled,0,oaccepted,aincomplete,oreturned,5.0,20,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,aconcept,ocreateoffer,aaccepted,ocreateoffer,aaccepted,wcompleteapplication,wcallafteroffers,aconcept,acomplete,aaccepted,aaccepted,acancelled,aconcept,wcallafteroffers,wcallafteroffers,oreturned,0,oaccepted,aincomplete,oreturned,5.0,20,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,aconcept,wcompleteapplication,ocreateoffer,aconcept,aaccepted,ocreateoffer,wcallafteroffers,wcompleteapplication,wcallafteroffers,ocancelled,aaccepted,acancelled,aaccepted,osentmailandonline,wcallafteroffers,wvalidateapplication,acomplete,oaccepted,oaccepted,oreturned,5.0,20,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,aconcept,wassesspotentialfraud,whandleleads,ocreateoffer,osentmailandonline,ocancelled,aaccepted,wassesspotentialfraud,wcallafteroffers,wcallafteroffers,acomplete,ocancelled,oreturned,wcompleteapplication,whandleleads,orefused,wcallafteroffers,aincomplete,acomplete,apending,10.0,20,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,ocreateoffer,ocreated,ocreated,wcompleteapplication,aaccepted,osentmailandonline,wcallafteroffers,acancelled,wcallafteroffers,wcallafteroffers,osentmailandonline,avalidating,adenied,wcallincompletefiles,0,aincomplete,oaccepted,avalidating,apending,10.0,20,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aconcept,aconcept,ocreated,ocreated,wcompleteapplication,osentonlineonly,whandleleads,acomplete,acancelled,wcallafteroffers,adenied,ocreated,wcallafteroffers,wassesspotentialfraud,0,avalidating,aconcept,adenied,avalidating,apending,10.0,20,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,wcompleteapplication,ocreated,osentonlineonly,wcompleteapplication,osentonlineonly,osentmailandonline,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,acancelled,wassesspotentialfraud,adenied,wvalidateapplication,0,aconcept,oaccepted,avalidating,apending,10.0,20,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wassesspotentialfraud,wassesspotentialfraud,wcompleteapplication,wcompleteapplication,ocreated,wcompleteapplication,ocreated,aaccepted,whandleleads,ocreated,acomplete,ocreated,wshortenedcompletion,wvalidateapplication,osentmailandonline,oaccepted,wvalidateapplication,apending,adenied,oaccepted,10.0,20,9,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wassesspotentialfraud,whandleleads,aaccepted,aaccepted,osentonlineonly,ocancelled,aconcept,osentonlineonly,orefused,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,acomplete,wassesspotentialfraud,aincomplete,avalidating,wvalidateapplication,oaccepted,aaccepted,15.0,20,10,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,whandleleads,aconcept,acomplete,wcallafteroffers,osentonlineonly,wcallafteroffers,wvalidateapplication,osentonlineonly,avalidating,aconcept,aincomplete,wcallincompletefiles,adenied,osentmailandonline,orefused,15.0,20,11,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aaccepted,wassesspotentialfraud,wcompleteapplication,osentonlineonly,osentmailandonline,ocreated,osentonlineonly,wcompleteapplication,wcallafteroffers,osentonlineonly,0,acomplete,ocreateoffer,ocancelled,acomplete,avalidating,0,apending,osentmailandonline,aaccepted,15.0,20,12,BPIC17_O_ACCEPTED,xgboost
