dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,5,5,0.155027,8.939276,9.094303,0.0,0.0,0.6133333333333333,0.6133333333333333,0.575,0.575,0.575,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.7066666666666667,0.7066666666666667,0.6625,0.6625,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.0,0.0,0.8,0.8,0.75,0.75,0.0,0.1325,0.1325,4.6,0.2875,3.0666666666666664,0.6133333333333333,0.6133333333333333,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,10,10,0.155027,13.227802,13.382829000000001,0.0,0.0,0.6533333333333333,0.6533333333333333,0.6125,0.6125,0.6125,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.8,0.8,0.75,0.75,0.75,0.0,0.0,0.7125925925925927,0.7125925925925927,0.6680555555555556,0.6680555555555556,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.1503125,0.1503125,4.9,0.30625,6.533333333333333,0.6533333333333333,0.6533333333333333,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,15,15,0.155027,17.804702,17.959729,0.0,0.0,0.6,0.6,0.5625,0.5625,0.5625,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.6495238095238095,0.6495238095238095,0.6089285714285714,0.6089285714285714,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0625,0.0625,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.14208333333333334,0.14208333333333334,4.5,0.28125,9.0,0.6,0.6,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,20,20,0.155027,17.900252,18.055279,0.0,0.0,0.6199999999999999,0.6199999999999999,0.5812499999999999,0.5812499999999999,0.5812499999999999,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.8,0.8,0.75,0.75,0.75,0.0,0.0,0.6785964912280702,0.6785964912280702,0.6361842105263158,0.6361842105263158,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3125,0.3125,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.15109375,0.15109375,4.65,0.290625,12.399999999999997,0.6199999999999999,0.6199999999999999,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,5,5,0.155027,8.66276,8.817787000000001,0.0,0.0,0.6133333333333333,0.6133333333333333,0.575,0.575,0.575,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.7066666666666667,0.7066666666666667,0.6625,0.6625,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.0,0.0,0.8,0.8,0.75,0.75,0.0,0.1325,0.1325,4.6,0.2875,3.0666666666666664,0.6133333333333333,0.6133333333333333,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,10,10,0.155027,13.082745,13.237772,0.0,0.0,0.6533333333333333,0.6533333333333333,0.6125,0.6125,0.6125,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.8,0.8,0.75,0.75,0.75,0.0,0.0,0.7125925925925927,0.7125925925925927,0.6680555555555556,0.6680555555555556,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.1503125,0.1503125,4.9,0.30625,6.533333333333333,0.6533333333333333,0.6533333333333333,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,15,15,0.155027,17.443968,17.598995000000002,0.0,0.0,0.6,0.6,0.5625,0.5625,0.5625,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.6495238095238095,0.6495238095238095,0.6089285714285714,0.6089285714285714,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0625,0.0625,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.14208333333333334,0.14208333333333334,4.5,0.28125,9.0,0.6,0.6,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,20,20,0.155027,18.010294,18.165321,0.0,0.0,0.6199999999999999,0.6199999999999999,0.5812499999999999,0.5812499999999999,0.5812499999999999,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.8,0.8,0.75,0.75,0.75,0.0,0.0,0.6785964912280702,0.6785964912280702,0.6361842105263158,0.6361842105263158,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3125,0.3125,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.15109375,0.15109375,4.65,0.290625,12.399999999999997,0.6199999999999999,0.6199999999999999,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf,baseline,15,1,5,5,0.15266,14.590009,14.742669,0.0,0.0,0.18666666666666668,0.18666666666666668,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.0,0.0,0.13333333333333333,0.13333333333333333,0.125,0.125,0.125,0.0,0.0,0.2,0.2,0.1875,0.1875,0.1875,0.0,0.0,0.10714285714285714,0.10666666666666666,0.10044642857142856,0.09999999999999999,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0625,0.0625,0.0,0.0,0.13333333333333333,0.13333333333333333,0.125,0.125,0.0,0.02,0.02,1.4,0.0875,0.9333333333333333,0.18666666666666668,0.18666666666666668,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf,baseline,15,1,10,10,0.15266,42.113243,42.265902999999994,0.0,0.0,0.14666666666666667,0.14666666666666667,0.1375,0.1375,0.1375,0.0,0.0,0.13333333333333333,0.13333333333333333,0.125,0.125,0.125,0.0,0.0,0.2,0.2,0.1875,0.1875,0.1875,0.0,0.0,0.15449735449735452,0.15407407407407409,0.14484126984126985,0.14444444444444446,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0625,0.0625,0.0,0.0,0.26666666666666666,0.26666666666666666,0.25,0.25,0.0,0.0325,0.0325,1.1,0.06875,1.4666666666666666,0.14666666666666667,0.14666666666666667,1.0
