dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,5,5,0.085994,4.80673,4.892724,0.0,0.0,0.5599999999999999,0.5599999999999999,0.5333333333333332,0.5333333333333332,0.5333333333333332,0.0,0.0,0.45,0.45,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.65,0.65,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.0,0.0,0.5650000000000001,0.5650000000000001,0.5380952380952381,0.5380952380952381,0.0,0.0,0.2,0.2,0.19047619047619047,0.19047619047619047,0.0,0.0,0.7,0.7,0.6666666666666666,0.6666666666666666,0.0,0.10761904761904761,0.10761904761904761,5.6,0.26666666666666666,2.8,0.5599999999999999,0.5599999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,10,10,0.085994,8.893815,8.979809,0.0,0.0,0.695,0.695,0.6619047619047618,0.6619047619047618,0.6619047619047618,0.0,0.0,0.6,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.75,0.75,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.0,0.0,0.5599999999999999,0.5599999999999999,0.5333333333333332,0.5333333333333332,0.0,0.0,0.05,0.05,0.047619047619047616,0.047619047619047616,0.0,0.0,0.85,0.85,0.8095238095238094,0.8095238095238094,0.0,0.12,0.12,6.95,0.33095238095238094,6.95,0.6950000000000001,0.6950000000000001,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,15,15,0.085994,20.518917,20.604910999999998,0.0,0.0,0.5266666666666666,0.5266666666666666,0.5015873015873015,0.5015873015873015,0.5015873015873015,0.0,0.0,0.4,0.4,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0,0.0,0.6,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.43000000000000005,0.43000000000000005,0.40952380952380957,0.40952380952380957,0.0,0.0,0.15,0.15,0.14285714285714285,0.14285714285714285,0.0,0.0,0.75,0.75,0.7142857142857142,0.7142857142857142,0.0,0.09555555555555556,0.09555555555555556,5.266666666666667,0.2507936507936508,7.899999999999999,0.5266666666666666,0.5266666666666666,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,20,20,0.085994,12.050855,12.136849,0.0,0.0,0.35750000000000004,0.35750000000000004,0.3404761904761905,0.3404761904761905,0.3404761904761905,0.0,0.0,0.15,0.15,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.6,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.39973684210526317,0.39973684210526317,0.3807017543859649,0.3807017543859649,0.0,0.0,0.05,0.05,0.047619047619047616,0.047619047619047616,0.0,0.0,0.65,0.65,0.6190476190476191,0.6190476190476191,0.0,0.09041666666666667,0.09041666666666667,3.575,0.17023809523809524,7.15,0.35750000000000004,0.35750000000000004,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,5,5,0.085994,5.795966,5.88196,0.0,0.0,0.51,0.51,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.0,0.45,0.45,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.55,0.55,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,0.0,0.5950000000000001,0.5950000000000001,0.5666666666666668,0.5666666666666668,0.0,0.0,0.2,0.2,0.19047619047619047,0.19047619047619047,0.0,0.0,0.7,0.7,0.6666666666666666,0.6666666666666666,0.0,0.11333333333333333,0.11333333333333333,5.1,0.24285714285714285,3.25,0.65,0.65,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,10,10,0.085994,8.304569,8.390563,0.0,0.0,0.56,0.56,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0,0.45,0.45,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.7,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4033333333333334,0.4033333333333334,0.38412698412698415,0.38412698412698415,0.0,0.0,0.05,0.05,0.047619047619047616,0.047619047619047616,0.0,0.0,0.8,0.8,0.7619047619047619,0.7619047619047619,0.0,0.08642857142857142,0.08642857142857142,5.6,0.26666666666666666,7.200000000000001,0.7200000000000001,0.7200000000000001,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,15,15,0.085994,9.442431,9.528424999999999,0.0,0.0,0.58,0.58,0.5523809523809523,0.5523809523809523,0.5523809523809523,0.0,0.0,0.45,0.45,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.75,0.75,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.0,0.0,0.5466666666666666,0.5466666666666666,0.5206349206349206,0.5206349206349206,0.0,0.0,0.05,0.05,0.047619047619047616,0.047619047619047616,0.0,0.0,0.85,0.85,0.8095238095238094,0.8095238095238094,0.0,0.12148148148148148,0.12148148148148148,5.8,0.2761904761904762,10.499999999999998,0.6999999999999998,0.6999999999999998,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,20,20,0.085994,10.905113,10.991107,0.0,0.0,0.325,0.325,0.30952380952380953,0.30952380952380953,0.30952380952380953,0.0,0.0,0.05,0.05,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.6,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.3928947368421053,0.3928947368421053,0.3741854636591479,0.3741854636591479,0.0,0.0,0.05,0.05,0.047619047619047616,0.047619047619047616,0.0,0.0,0.65,0.65,0.6190476190476191,0.6190476190476191,0.0,0.08886904761904763,0.08886904761904763,3.25,0.15476190476190477,7.2,0.36,0.36,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,1,5,5,0.059942,9.479423,9.539365,0.0,0.0,0.49000000000000005,0.49000000000000005,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,0.0,0.45,0.45,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.5,0.5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.0,0.0,0.3918421052631579,0.39,0.37318295739348367,0.37142857142857144,0.0,0.0,0.3,0.3,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5,0.5,0.47619047619047616,0.47619047619047616,0.0,0.07428571428571429,0.07428571428571429,4.9,0.23333333333333334,2.45,0.49000000000000005,0.49000000000000005,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,1,10,10,0.059942,20.503666,20.563608,0.0,0.0,0.465,0.465,0.44285714285714284,0.44285714285714284,0.44285714285714284,0.0,0.0,0.4,0.4,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0,0.0,0.5,0.5,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.0,0.0,0.5025730994152048,0.5011111111111112,0.47864104706209976,0.47724867724867726,0.0,0.0,0.2631578947368421,0.25,0.2506265664160401,0.23809523809523808,0.0,0.0,0.65,0.65,0.6190476190476191,0.6190476190476191,0.0,0.10738095238095238,0.10738095238095238,4.65,0.22142857142857142,4.65,0.465,0.465,1.0
