prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,desired_cfs,idx,test_id,dataset,black_box
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,wvaliderenaanvraagcomplete,wvaliderenaanvraagstart,wvaliderenaanvraagcomplete,5.0,20,0,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,afinalizedcomplete,oselectedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,adeclinedcomplete,odeclinedcomplete,wvaliderenaanvraagcomplete,5.0,20,1,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wafhandelenleadsstart,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,ocreatedcomplete,wnabellenoffertesstart,wnabellenoffertesschedule,wnabellenoffertesstart,odeclinedcomplete,wvaliderenaanvraagstart,5.0,20,2,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wafhandelenleadsstart,apreacceptedcomplete,aacceptedcomplete,afinalizedcomplete,wcompleterenaanvraagcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wnabellenoffertesstart,wnabellenoffertescomplete,osentbackcomplete,oacceptedcomplete,wvaliderenaanvraagschedule,aapprovedcomplete,5.0,20,3,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wafhandelenleadsstart,apreacceptedcomplete,aacceptedcomplete,wafhandelenleadscomplete,wcompleterenaanvraagcomplete,wafhandelenleadscomplete,osentcomplete,wcompleterenaanvraagstart,afinalizedcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,osentbackcomplete,acancelledcomplete,oselectedcomplete,aapprovedcomplete,5.0,20,4,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,wvaliderenaanvraagcomplete,wvaliderenaanvraagstart,wvaliderenaanvraagcomplete,10.0,20,5,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,acancelledcomplete,wvaliderenaanvraagcomplete,wvaliderenaanvraagcomplete,10.0,20,6,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,wvaliderenaanvraagcomplete,wvaliderenaanvraagstart,wnabellenincompletedossiersschedule,10.0,20,7,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,wnabellenincompletedossiersschedule,wvaliderenaanvraagcomplete,wnabellenincompletedossiersstart,10.0,20,8,bpic2012_O_ACCEPTED-COMPLETE,xgboost
asubmittedcomplete,apartlysubmittedcomplete,apreacceptedcomplete,wcompleterenaanvraagschedule,wcompleterenaanvraagstart,aacceptedcomplete,oselectedcomplete,afinalizedcomplete,ocreatedcomplete,osentcomplete,wnabellenoffertesschedule,wcompleterenaanvraagcomplete,wnabellenoffertesstart,osentbackcomplete,wvaliderenaanvraagschedule,wnabellenoffertescomplete,wvaliderenaanvraagstart,oacceptedcomplete,aapprovedcomplete,aactivatedcomplete,10.0,20,9,bpic2012_O_ACCEPTED-COMPLETE,xgboost
