dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,5,5,0.04809,17.25382,17.30191,0.0,0.0,0.0,0.3,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.55,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.43,0.0,0.4095238095238095,0.0,0.0,0.0,0.2,0.0,0.1904761904761904,0.0,0.0,0.0,0.6,0.0,0.5714285714285714,0.0,0.0819047619047619,0.0819047619047619,3.0,0.1428571428571428,1.5,0.3,0.3,0.8
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,10,10,0.04809,27.223396,27.271486,0.0,0.0,0.0,0.27,0.0,0.0,0.2571428571428572,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.8,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.4133333333333334,0.0,0.3936507936507937,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.8,0.0,0.7619047619047619,0.0,0.0885714285714285,0.0885714285714285,2.7,0.1285714285714285,2.7,0.27,0.27,0.9
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,15,15,0.04809,110.995921,111.044011,0.0,0.0,0.0,0.1733333333333333,0.0,0.0,0.165079365079365,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.6,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.2033333333333333,0.0,0.1936507936507936,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.7,0.0,0.6666666666666666,0.0,0.0451851851851851,0.0451851851851851,1.7333333333333334,0.0825396825396825,2.6,0.1733333333333333,0.1733333333333333,0.9333333333333332
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,1,20,20,0.04809,50.029373,50.077463,0.0,0.0,0.0,0.19,0.0,0.0,0.1809523809523809,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.65,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,0.2260526315789474,0.0,0.2152882205513784,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.7,0.0,0.6666666666666666,0.0,0.0511309523809523,0.0511309523809523,1.9,0.0904761904761904,3.8,0.1899999999999999,0.1899999999999999,0.95
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,5,5,0.04809,2.175981,2.2240710000000004,0.0,0.0,0.0,0.23,0.0,0.0,0.219047619047619,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.55,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.375,0.0,0.3571428571428571,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.6,0.0,0.5714285714285714,0.0,0.0714285714285714,0.0714285714285714,2.3,0.1095238095238095,2.15,0.43,0.43,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,10,10,0.04809,4.101321,4.149411000000001,0.0,0.0,0.0,0.375,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.6,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.5255555555555556,0.0,0.5005291005291005,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.8,0.0,0.7619047619047619,0.0,0.1126190476190476,0.1126190476190476,3.75,0.1785714285714285,5.2,0.52,0.52,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,15,15,0.04809,5.698361,5.746451,0.0,0.0,0.0,0.2766666666666666,0.0,0.0,0.2634920634920635,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.55,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.3776190476190476,0.0,0.3596371882086168,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.7,0.0,0.6666666666666666,0.0,0.0839153439153439,0.0839153439153439,2.7666666666666666,0.1317460317460317,6.8,0.4533333333333333,0.4533333333333333,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,20,2,20,20,0.04809,8.529436,8.577526,0.0,0.0,0.0,0.3649999999999999,0.0,0.0,0.3476190476190475,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.65,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,0.4905263157894736,0.0,0.4671679197994987,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.8,0.0,0.7619047619047619,0.0,0.1109523809523809,0.1109523809523809,3.65,0.1738095238095238,10.099999999999998,0.5049999999999999,0.5049999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,1,5,5,0.031421,40.55253,40.583951,0.0,0.0,0.04,0.2099999999999999,0.038095238095238,0.038095238095238,0.1999999999999999,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.2,0.6,0.1904761904761904,0.1904761904761904,0.5714285714285714,0.0,0.0,0.08,0.345,0.0761904761904761,0.3285714285714285,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.2,0.7,0.1904761904761904,0.6666666666666666,0.0,0.0657142857142857,0.0657142857142857,2.1,0.1,1.0499999999999998,0.2099999999999999,0.2099999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,1,10,10,0.031421,76.987772,77.019193,0.0,0.0,0.025,0.22,0.0238095238095238,0.0238095238095238,0.2095238095238095,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.25,0.75,0.238095238095238,0.238095238095238,0.7142857142857142,0.0,0.0,0.05,0.3233333333333333,0.0476190476190476,0.3079365079365079,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.25,0.75,0.238095238095238,0.7142857142857142,0.0,0.0692857142857142,0.0692857142857142,2.2,0.1047619047619047,2.2,0.22,0.22,1.0
