prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,prefix_26,prefix_27,prefix_28,prefix_29,prefix_30,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wshortenedcompletion,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,osentonlineonly,adenied,wcompleteapplication,wcallafteroffers,ocreateoffer,ocreated,0,whandleleads,oaccepted,apending,ocreated,osentmailandonline,osentmailandonline,avalidating,wassesspotentialfraud,avalidating,5.0,20,0,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wassesspotentialfraud,wassesspotentialfraud,ocreateoffer,ocreated,whandleleads,osentmailandonline,ocreateoffer,acomplete,wcallafteroffers,aaccepted,wcallafteroffers,aaccepted,orefused,oaccepted,wcallafteroffers,acancelled,aincomplete,ocancelled,oaccepted,avalidating,orefused,aincomplete,oreturned,avalidating,5.0,20,1,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,wshortenedcompletion,acancelled,wshortenedcompletion,ocreated,acancelled,wassesspotentialfraud,ocancelled,wcallafteroffers,osentonlineonly,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,wvalidateapplication,wcallafteroffers,wcallafteroffers,oaccepted,ocancelled,oaccepted,wcompleteapplication,orefused,acancelled,wassesspotentialfraud,avalidating,5.0,20,2,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,whandleleads,wshortenedcompletion,aaccepted,aaccepted,ocreated,osentmailandonline,wcompleteapplication,aaccepted,wcallafteroffers,acomplete,adenied,wcallafteroffers,aaccepted,orefused,ocreated,0,wcallafteroffers,oaccepted,wvalidateapplication,ocreated,oaccepted,osentmailandonline,wvalidateapplication,oaccepted,avalidating,5.0,20,3,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aconcept,aaccepted,acancelled,wshortenedcompletion,ocreated,acancelled,wshortenedcompletion,ocreated,wcallafteroffers,osentonlineonly,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,oaccepted,apending,wcallafteroffers,oaccepted,ocancelled,oaccepted,wcompleteapplication,orefused,acancelled,wassesspotentialfraud,avalidating,5.0,20,4,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wassesspotentialfraud,ocreated,ocreateoffer,acancelled,osentmailandonline,aaccepted,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wassesspotentialfraud,wassesspotentialfraud,whandleleads,acomplete,wcallafteroffers,wcallafteroffers,0,ocancelled,wvalidateapplication,wcallincompletefiles,oreturned,0,aincomplete,apending,10.0,20,5,sampled_logs,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,aconcept,wassesspotentialfraud,osentonlineonly,orefused,ocreated,0,osentonlineonly,adenied,aconcept,0,wcallafteroffers,aaccepted,acomplete,ocancelled,oreturned,wcallafteroffers,whandleleads,wvalidateapplication,ocreateoffer,apending,oaccepted,wcompleteapplication,acomplete,wassesspotentialfraud,0,10.0,20,6,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,ocreateoffer,aconcept,wassesspotentialfraud,wshortenedcompletion,adenied,wcompleteapplication,acancelled,acomplete,avalidating,acancelled,oreturned,aaccepted,adenied,wcallafteroffers,orefused,oreturned,wshortenedcompletion,whandleleads,apending,aincomplete,avalidating,acomplete,wvalidateapplication,10.0,20,7,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,wcompleteapplication,ocreated,osentmailandonline,wcallafteroffers,acancelled,acancelled,ocreateoffer,ocancelled,osentonlineonly,acomplete,wcompleteapplication,wcallafteroffers,wassesspotentialfraud,acancelled,aincomplete,oreturned,ocreated,wcallincompletefiles,acancelled,aaccepted,whandleleads,aincomplete,orefused,avalidating,10.0,20,8,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,whandleleads,wcompleteapplication,wshortenedcompletion,ocreateoffer,aconcept,osentonlineonly,wassesspotentialfraud,acomplete,osentmailandonline,adenied,wcallafteroffers,wcompleteapplication,wassesspotentialfraud,aaccepted,whandleleads,adenied,osentonlineonly,acomplete,oreturned,aincomplete,osentmailandonline,avalidating,aaccepted,0,avalidating,avalidating,10.0,20,9,sampled_logs,xgboost
