prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wvalidateapplication,5.0,20,0,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,5.0,20,1,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,5.0,20,2,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,ocreateoffer,ocreated,5.0,20,3,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,ocreateoffer,ocreated,osentmailandonline,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,5.0,20,4,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wvalidateapplication,10.0,20,5,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,10.0,20,6,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,10.0,20,7,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wvalidateapplication,wvalidateapplication,10.0,20,8,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,acancelled,ocancelled,10.0,20,9,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wvalidateapplication,15.0,20,10,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,15.0,20,11,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,15.0,20,12,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wvalidateapplication,wvalidateapplication,15.0,20,13,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,acomplete,wcallafteroffers,acancelled,acomplete,15.0,20,14,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wvalidateapplication,20.0,20,15,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,20.0,20,16,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentonlineonly,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wvalidateapplication,20.0,20,17,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,wcallafteroffers,20.0,20,18,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wvalidateapplication,wvalidateapplication,20.0,20,19,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,5.0,21,0,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,5.0,21,1,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,wcompleteapplication,osentmailandonline,wshortenedcompletion,wcallafteroffers,wcallafteroffers,ocancelled,5.0,21,2,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aaccepted,wcompleteapplication,aaccepted,ocreateoffer,wcompleteapplication,osentmailandonline,wcompleteapplication,wcallafteroffers,wcompleteapplication,aaccepted,5.0,21,3,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,ocreateoffer,wcompleteapplication,ocreateoffer,aconcept,osentmailandonline,osentmailandonline,wcompleteapplication,acomplete,wvalidateapplication,wcallafteroffers,5.0,21,4,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,10.0,21,5,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wcompleteapplication,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcompleteapplication,wcallafteroffers,wcallafteroffers,10.0,21,6,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,ocreated,aaccepted,ocreated,wcompleteapplication,osentmailandonline,wcallafteroffers,osentmailandonline,wcallafteroffers,acomplete,10.0,21,7,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,wcompleteapplication,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,10.0,21,8,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,ocreateoffer,wcompleteapplication,ocreateoffer,ocreateoffer,ocreated,osentmailandonline,whandleleads,osentmailandonline,wcallafteroffers,ocreated,10.0,21,9,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,15.0,21,10,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,aaccepted,aaccepted,aconcept,ocreated,ocreateoffer,wcompleteapplication,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,15.0,21,11,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,acomplete,wcallafteroffers,acancelled,acomplete,15.0,21,12,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,ocancelled,ocreateoffer,osentonlineonly,osentmailandonline,wcompleteapplication,ocancelled,wcallafteroffers,wvalidateapplication,15.0,21,13,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aaccepted,aconcept,ocreateoffer,wshortenedcompletion,aaccepted,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,15.0,21,14,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,ocreateoffer,ocreated,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,20.0,21,15,sampled_logs,xgboost
