prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,wassesspotentialfraud,ocreateoffer,osentonlineonly,wshortenedcompletion,wcompleteapplication,aconcept,acancelled,wvalidateapplication,osentmailandonline,acomplete,wcallafteroffers,adenied,wcallafteroffers,osentonlineonly,5.0,20,0,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,whandleleads,wcompleteapplication,aaccepted,aaccepted,osentonlineonly,osentonlineonly,ocancelled,acomplete,wshortenedcompletion,aconcept,ocreateoffer,wshortenedcompletion,osentonlineonly,aaccepted,wcallafteroffers,apending,5.0,20,1,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,wassesspotentialfraud,wassesspotentialfraud,ocreateoffer,ocreated,osentonlineonly,wcompleteapplication,aconcept,ocancelled,osentmailandonline,orefused,ocreated,acancelled,adenied,wcallafteroffers,wcallafteroffers,5.0,20,2,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,wcompleteapplication,aconcept,wcompleteapplication,osentonlineonly,osentonlineonly,ocreateoffer,osentonlineonly,wcallafteroffers,ocancelled,ocancelled,wcallafteroffers,wvalidateapplication,acancelled,oreturned,wcallafteroffers,ocreated,5.0,20,3,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,whandleleads,wcompleteapplication,wassesspotentialfraud,aconcept,aconcept,wcompleteapplication,osentmailandonline,whandleleads,acomplete,ocancelled,adenied,osentmailandonline,wcallafteroffers,wshortenedcompletion,avalidating,wcallafteroffers,acomplete,5.0,20,4,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aconcept,osentonlineonly,osentmailandonline,osentmailandonline,acomplete,ocancelled,ocreateoffer,aconcept,acancelled,wshortenedcompletion,ocancelled,wcallafteroffers,acomplete,10.0,20,5,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,wassesspotentialfraud,osentonlineonly,aconcept,ocreateoffer,wcompleteapplication,wcallafteroffers,ocancelled,wvalidateapplication,ocreated,wshortenedcompletion,acancelled,ocreated,wcallafteroffers,apending,10.0,20,6,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,wassesspotentialfraud,wassesspotentialfraud,ocreateoffer,ocreated,wcompleteapplication,ocreated,ocreateoffer,wcallafteroffers,wcallafteroffers,aconcept,wshortenedcompletion,wshortenedcompletion,ocancelled,whandleleads,wcompleteapplication,10.0,20,7,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aaccepted,wcompleteapplication,osentonlineonly,aconcept,osentonlineonly,ocancelled,acomplete,wcallafteroffers,acancelled,ocancelled,wcallafteroffers,avalidating,ocancelled,osentonlineonly,wcallincompletefiles,10.0,20,8,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wassesspotentialfraud,wcompleteapplication,wassesspotentialfraud,osentonlineonly,osentmailandonline,wcallafteroffers,acomplete,ocancelled,acancelled,ocancelled,wshortenedcompletion,acancelled,avalidating,whandleleads,oreturned,10.0,20,9,sampled_logs,xgboost
