dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
sampled_logs,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,25,1,5,5,0.031741,139.132115,139.163856,0.0,0.0,0.312,0.312,0.3,0.3,0.3,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.32,0.32,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0,0.0,0.31599999999999995,0.31599999999999995,0.3038461538461538,0.3038461538461538,0.0,0.0,0.2,0.2,0.19230769230769232,0.19230769230769232,0.0,0.0,0.4,0.4,0.38461538461538464,0.38461538461538464,0.0,0.06076923076923077,0.06076923076923077,3.9,0.15,1.56,0.312,0.312,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,25,1,10,10,0.031741,262.466313,262.498054,0.0,0.0,0.32399999999999995,0.32399999999999995,0.3115384615384615,0.3115384615384615,0.3115384615384615,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.36,0.36,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.0,0.0,0.28355555555555556,0.28355555555555556,0.2726495726495727,0.2726495726495727,0.0,0.0,0.12,0.12,0.11538461538461538,0.11538461538461538,0.0,0.0,0.48,0.48,0.4615384615384615,0.4615384615384615,0.0,0.06134615384615385,0.06134615384615385,4.05,0.15576923076923077,3.2399999999999998,0.32399999999999995,0.32399999999999995,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,25,1,15,15,0.031741,268.713101,268.744842,0.0,0.0,0.33066666666666666,0.33066666666666666,0.31794871794871793,0.31794871794871793,0.31794871794871793,0.0,0.0,0.24,0.24,0.23076923076923075,0.23076923076923075,0.23076923076923075,0.0,0.0,0.44,0.44,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.0,0.0,0.31352380952380954,0.31352380952380954,0.3014652014652015,0.3014652014652015,0.0,0.0,0.08,0.08,0.07692307692307693,0.07692307692307693,0.0,0.0,0.52,0.52,0.5,0.5,0.0,0.07034188034188034,0.07034188034188034,4.133333333333334,0.15897435897435896,4.96,0.33066666666666666,0.33066666666666666,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,25,1,20,20,0.031741,694.502402,694.534143,0.0,0.0,0.34,0.34,0.326923076923077,0.326923076923077,0.326923076923077,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.52,0.52,0.5,0.5,0.5,0.0,0.0,0.19789473684210526,0.19789473684210526,0.1902834008097166,0.1902834008097166,0.0,0.0,0.04,0.04,0.038461538461538464,0.038461538461538464,0.0,0.0,0.48,0.48,0.4615384615384615,0.4615384615384615,0.0,0.04519230769230769,0.04519230769230769,4.25,0.16346153846153846,6.800000000000001,0.34,0.34,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf,baseline,25,1,5,5,0.034361,163.574192,163.608553,0.0,0.0,0.32,0.32,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.36,0.36,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.0,0.0,0.288,0.288,0.2769230769230769,0.2769230769230769,0.0,0.0,0.2,0.2,0.19230769230769232,0.19230769230769232,0.0,0.0,0.36,0.36,0.34615384615384615,0.34615384615384615,0.0,0.055384615384615386,0.055384615384615386,4.0,0.15384615384615385,1.6,0.32,0.32,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf,baseline,25,1,10,10,0.034361,250.596433,250.63079399999998,0.0,0.0,0.356,0.356,0.3423076923076923,0.3423076923076923,0.3423076923076923,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.4,0.4,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,0.0,0.33955555555555555,0.33955555555555555,0.3264957264957265,0.3264957264957265,0.0,0.0,0.12,0.12,0.11538461538461538,0.11538461538461538,0.0,0.0,0.56,0.56,0.5384615384615385,0.5384615384615385,0.0,0.07346153846153847,0.07346153846153847,4.45,0.17115384615384616,3.5599999999999996,0.356,0.356,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf,baseline,25,1,15,15,0.034361,288.276074,288.310435,0.0,0.0,0.3466666666666667,0.3466666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.44,0.44,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.0,0.0,0.34438095238095234,0.34438095238095234,0.3311355311355311,0.3311355311355311,0.0,0.0,0.16,0.16,0.15384615384615385,0.15384615384615385,0.0,0.0,0.52,0.52,0.5,0.5,0.0,0.07726495726495726,0.07726495726495726,4.333333333333333,0.16666666666666666,5.200000000000001,0.34666666666666673,0.34666666666666673,1.0
sampled_logs,heuristic_1,xgboost,genetic_ltlf,baseline,25,1,20,20,0.034361,243.484744,243.519105,0.0,0.0,0.3960000000000001,0.3960000000000001,0.38076923076923086,0.38076923076923086,0.38076923076923086,0.0,0.0,0.36,0.36,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.0,0.0,0.44,0.44,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.0,0.0,0.3442105263157894,0.3442105263157894,0.33097165991902827,0.33097165991902827,0.0,0.0,0.12,0.12,0.11538461538461538,0.11538461538461538,0.0,0.0,0.56,0.56,0.5384615384615385,0.5384615384615385,0.0,0.07860576923076923,0.07860576923076923,4.95,0.19038461538461537,7.920000000000003,0.39600000000000013,0.39600000000000013,1.0
sampled_logs,heuristic_2,xgboost,genetic_ltlf,baseline,25,1,5,5,0.020993,209.350333,209.371326,0.0,0.0,0.272,0.272,0.26153846153846155,0.26153846153846155,0.26153846153846155,0.0,0.0,0.2,0.2,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.0,0.0,0.32,0.32,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0,0.0,0.3897391304347826,0.388,0.37474916387959867,0.3730769230769231,0.0,0.0,0.2,0.2,0.19230769230769232,0.19230769230769232,0.0,0.0,0.52,0.52,0.5,0.5,0.0,0.07461538461538461,0.07461538461538461,3.4,0.13076923076923078,1.36,0.272,0.272,1.0
sampled_logs,heuristic_2,xgboost,genetic_ltlf,baseline,25,1,10,10,0.020993,612.089717,612.1107099999999,0.0,0.0,0.20400000000000001,0.20400000000000001,0.19615384615384618,0.19615384615384618,0.19615384615384618,0.0,0.0,0.16,0.16,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,0.28,0.28,0.2692307692307693,0.2692307692307693,0.2692307692307693,0.0,0.0,0.20812890812890814,0.1937777777777778,0.20012395012395012,0.18632478632478636,0.0,0.0,0.045454545454545456,0.04,0.04370629370629371,0.038461538461538464,0.0,0.0,0.48,0.48,0.4615384615384615,0.4615384615384615,0.0,0.041923076923076924,0.041923076923076924,2.55,0.09807692307692308,2.04,0.20400000000000001,0.20400000000000001,1.0
