prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,desired_cfs,idx,test_id,dataset,black_box
register,lowinsurancecheck,highinsurancecheck,createquestionnaire,preparenotificationcontent,acceptclaim,preparenotificationcontent,sendquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,skipquestionnaire,0,5.0,20,0,synthetic_data,xgboost
register,highmedicalhistory,sendquestionnaire,receivequestionnaireresponse,lowmedicalhistory,rejectclaim,sendnotificationbyphone,skipquestionnaire,sendnotificationbyphone,sendnotificationbypost,receivequestionnaireresponse,0,0,5.0,20,1,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,highinsurancecheck,lowinsurancecheck,rejectclaim,sendquestionnaire,sendnotificationbyemail,sendnotificationbyemail,sendnotificationbyphone,0,skipquestionnaire,0,5.0,20,2,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,createquestionnaire,lowinsurancecheck,acceptclaim,receivequestionnaireresponse,skipquestionnaire,sendnotificationbyemail,sendnotificationbyemail,sendquestionnaire,skipquestionnaire,0,5.0,20,3,synthetic_data,xgboost
register,lowmedicalhistory,lowmedicalhistory,contacthospital,rejectclaim,rejectclaim,sendquestionnaire,acceptclaim,sendnotificationbyemail,sendnotificationbyphone,sendnotificationbypost,sendnotificationbyphone,archive,5.0,20,4,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,rejectclaim,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,0,archive,0,10.0,20,5,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,highmedicalhistory,createquestionnaire,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,0,sendnotificationbyphone,0,10.0,20,6,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highmedicalhistory,rejectclaim,preparenotificationcontent,sendquestionnaire,sendnotificationbyemail,sendnotificationbyphone,sendnotificationbypost,0,archive,0,10.0,20,7,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,preparenotificationcontent,receivequestionnaireresponse,createquestionnaire,sendquestionnaire,sendquestionnaire,sendnotificationbypost,0,10.0,20,8,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,lowmedicalhistory,createquestionnaire,acceptclaim,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,skipquestionnaire,archive,0,10.0,20,9,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,highmedicalhistory,acceptclaim,createquestionnaire,sendnotificationbyphone,preparenotificationcontent,sendnotificationbypost,archive,sendnotificationbyemail,archive,0,15.0,20,10,synthetic_data,xgboost
register,lowmedicalhistory,createquestionnaire,contacthospital,acceptclaim,createquestionnaire,sendquestionnaire,sendnotificationbyphone,receivequestionnaireresponse,0,sendnotificationbyphone,archive,0,15.0,20,11,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,createquestionnaire,highinsurancecheck,createquestionnaire,rejectclaim,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyemail,sendnotificationbypost,archive,0,15.0,20,12,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,createquestionnaire,preparenotificationcontent,createquestionnaire,sendnotificationbypost,sendquestionnaire,receivequestionnaireresponse,sendnotificationbypost,receivequestionnaireresponse,archive,0,15.0,20,13,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,receivequestionnaireresponse,acceptclaim,createquestionnaire,sendnotificationbypost,receivequestionnaireresponse,createquestionnaire,archive,sendnotificationbypost,archive,0,15.0,20,14,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,createquestionnaire,rejectclaim,createquestionnaire,rejectclaim,sendnotificationbypost,sendnotificationbyphone,sendnotificationbypost,receivequestionnaireresponse,sendnotificationbyemail,0,20.0,20,15,synthetic_data,xgboost
register,highinsurancecheck,highinsurancecheck,receivequestionnaireresponse,createquestionnaire,createquestionnaire,rejectclaim,sendquestionnaire,sendnotificationbyphone,0,receivequestionnaireresponse,archive,0,20.0,20,16,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,receivequestionnaireresponse,lowinsurancecheck,createquestionnaire,sendnotificationbyemail,sendnotificationbypost,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,20.0,20,17,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,rejectclaim,rejectclaim,sendnotificationbyemail,createquestionnaire,sendnotificationbyemail,sendnotificationbyemail,receivequestionnaireresponse,archive,0,20.0,20,18,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,highinsurancecheck,lowinsurancecheck,preparenotificationcontent,sendnotificationbyemail,sendquestionnaire,preparenotificationcontent,createquestionnaire,sendnotificationbyphone,archive,0,20.0,20,19,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,0,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,1,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,rejectclaim,rejectclaim,rejectclaim,sendquestionnaire,receivequestionnaireresponse,createquestionnaire,sendnotificationbyphone,skipquestionnaire,archive,0,5.0,21,2,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,3,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,acceptclaim,highmedicalhistory,contacthospital,sendquestionnaire,sendquestionnaire,sendnotificationbyemail,sendnotificationbypost,0,archive,0,5.0,21,4,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,5,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,6,synthetic_data,xgboost
register,highmedicalhistory,highmedicalhistory,highinsurancecheck,rejectclaim,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,7,synthetic_data,xgboost
register,lowmedicalhistory,highinsurancecheck,highinsurancecheck,createquestionnaire,sendnotificationbyemail,sendquestionnaire,receivequestionnaireresponse,archive,archive,sendnotificationbyphone,0,0,10.0,21,8,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,0,archive,0,10.0,21,9,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,15.0,21,10,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,15.0,21,11,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,sendnotificationbyemail,0,archive,0,15.0,21,12,synthetic_data,xgboost
register,lowmedicalhistory,createquestionnaire,acceptclaim,acceptclaim,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,sendnotificationbyemail,0,archive,0,15.0,21,13,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,15.0,21,14,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,receivequestionnaireresponse,archive,0,20.0,21,15,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,20.0,21,16,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,20.0,21,17,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,sendnotificationbyemail,sendquestionnaire,archive,0,20.0,21,18,synthetic_data,xgboost
register,createquestionnaire,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,sendnotificationbyemail,sendnotificationbypost,archive,0,20.0,21,19,synthetic_data,xgboost
register,lowinsurancecheck,highmedicalhistory,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendquestionnaire,sendnotificationbyphone,sendnotificationbypost,sendquestionnaire,sendnotificationbyemail,0,5.0,20,0,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendnotificationbypost,sendquestionnaire,archive,receivequestionnaireresponse,archive,0,5.0,20,1,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,receivequestionnaireresponse,skipquestionnaire,sendnotificationbypost,archive,sendnotificationbyemail,archive,0,5.0,20,2,synthetic_data,xgboost
register,lowinsurancecheck,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,receivequestionnaireresponse,skipquestionnaire,sendquestionnaire,sendnotificationbyemail,receivequestionnaireresponse,0,0,5.0,20,3,synthetic_data,xgboost
register,highmedicalhistory,lowmedicalhistory,contacthospital,rejectclaim,preparenotificationcontent,sendnotificationbyemail,sendquestionnaire,sendquestionnaire,receivequestionnaireresponse,receivequestionnaireresponse,skipquestionnaire,0,5.0,20,4,synthetic_data,xgboost
register,highmedicalhistory,highmedicalhistory,contacthospital,rejectclaim,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbyemail,0,sendnotificationbyemail,0,10.0,20,5,synthetic_data,xgboost
register,lowmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyphone,sendnotificationbyemail,archive,receivequestionnaireresponse,sendnotificationbypost,0,0,10.0,20,6,synthetic_data,xgboost
register,lowinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,receivequestionnaireresponse,sendnotificationbyemail,receivequestionnaireresponse,0,sendnotificationbypost,0,10.0,20,7,synthetic_data,xgboost
0,highmedicalhistory,0,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendquestionnaire,sendnotificationbyphone,0,sendnotificationbypost,archive,archive,10.0,20,8,synthetic_data,xgboost
register,0,0,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyphone,receivequestionnaireresponse,createquestionnaire,createquestionnaire,skipquestionnaire,archive,0,10.0,20,9,synthetic_data,xgboost
register,0,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,createquestionnaire,sendnotificationbypost,sendnotificationbyphone,sendnotificationbypost,sendquestionnaire,archive,0,15.0,20,10,synthetic_data,xgboost
0,0,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyphone,sendquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,archive,0,15.0,20,11,synthetic_data,xgboost
0,0,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,createquestionnaire,sendquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,archive,0,15.0,20,12,synthetic_data,xgboost
0,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,sendnotificationbyphone,sendnotificationbyemail,skipquestionnaire,archive,0,15.0,20,13,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,createquestionnaire,sendnotificationbyphone,sendnotificationbyemail,sendnotificationbyphone,0,archive,0,15.0,20,14,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,sendquestionnaire,skipquestionnaire,preparenotificationcontent,sendnotificationbyemail,skipquestionnaire,archive,0,20.0,20,15,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,createquestionnaire,sendnotificationbypost,preparenotificationcontent,skipquestionnaire,sendnotificationbypost,archive,0,20.0,20,16,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,highinsurancecheck,preparenotificationcontent,receivequestionnaireresponse,sendnotificationbypost,0,receivequestionnaireresponse,archive,0,20.0,20,17,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,sendnotificationbyemail,sendnotificationbyemail,skipquestionnaire,preparenotificationcontent,receivequestionnaireresponse,archive,archive,0,20.0,20,18,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,sendquestionnaire,sendnotificationbyemail,sendnotificationbyphone,sendnotificationbyphone,sendnotificationbypost,archive,0,20.0,20,19,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,0,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,1,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,2,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,sendnotificationbyemail,receivequestionnaireresponse,sendnotificationbyphone,archive,0,0,5.0,21,3,synthetic_data,xgboost
0,0,0,rejectclaim,highinsurancecheck,preparenotificationcontent,createquestionnaire,sendnotificationbyphone,sendquestionnaire,createquestionnaire,receivequestionnaireresponse,0,0,5.0,21,4,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,5,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,6,synthetic_data,xgboost
register,highinsurancecheck,highmedicalhistory,rejectclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,receivequestionnaireresponse,0,10.0,21,7,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,rejectclaim,highinsurancecheck,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,receivequestionnaireresponse,sendquestionnaire,0,0,0,10.0,21,8,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,9,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,15.0,21,10,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,15.0,21,11,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,15.0,21,12,synthetic_data,xgboost
0,0,lowinsurancecheck,rejectclaim,createquestionnaire,highinsurancecheck,sendquestionnaire,receivequestionnaireresponse,createquestionnaire,sendnotificationbyemail,sendnotificationbypost,archive,0,15.0,21,13,synthetic_data,xgboost
0,highinsurancecheck,0,rejectclaim,createquestionnaire,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,receivequestionnaireresponse,0,archive,0,15.0,21,14,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,20.0,21,15,synthetic_data,xgboost
register,0,highinsurancecheck,rejectclaim,highmedicalhistory,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,sendnotificationbyemail,0,archive,0,20.0,21,16,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,20.0,21,17,synthetic_data,xgboost
register,0,0,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,skipquestionnaire,sendnotificationbyemail,0,archive,0,20.0,21,18,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,20.0,21,19,synthetic_data,xgboost
register,highinsurancecheck,sendquestionnaire,contacthospital,rejectclaim,createquestionnaire,receivequestionnaireresponse,sendnotificationbypost,createquestionnaire,sendnotificationbyphone,sendquestionnaire,archive,0,5.0,20,0,synthetic_data,xgboost
register,0,highmedicalhistory,contacthospital,rejectclaim,createquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbyemail,sendnotificationbyemail,archive,sendnotificationbypost,0,5.0,20,1,synthetic_data,xgboost
register,0,highmedicalhistory,contacthospital,rejectclaim,createquestionnaire,receivequestionnaireresponse,createquestionnaire,sendnotificationbyemail,sendnotificationbyemail,sendquestionnaire,sendnotificationbypost,0,5.0,20,2,synthetic_data,xgboost
register,0,highmedicalhistory,contacthospital,rejectclaim,createquestionnaire,0,sendnotificationbyphone,sendnotificationbyemail,sendnotificationbyemail,0,sendnotificationbypost,0,5.0,20,3,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,contacthospital,rejectclaim,preparenotificationcontent,sendnotificationbyemail,sendquestionnaire,0,0,receivequestionnaireresponse,0,0,5.0,20,4,synthetic_data,xgboost
register,0,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,sendquestionnaire,createquestionnaire,0,0,sendnotificationbypost,0,0,10.0,20,5,synthetic_data,xgboost
