prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,desired_cfs,idx,test_id,dataset,black_box
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,sendquestionnaire,receivequestionnaireresponse,5.0,20,0,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,rejectclaim,sendquestionnaire,preparenotificationcontent,archive,sendnotificationbypost,5.0,20,1,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,rejectclaim,sendquestionnaire,preparenotificationcontent,0,receivequestionnaireresponse,5.0,20,2,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,rejectclaim,sendquestionnaire,preparenotificationcontent,archive,sendnotificationbypost,5.0,20,3,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,rejectclaim,receivequestionnaireresponse,preparenotificationcontent,archive,sendnotificationbypost,5.0,20,4,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,sendquestionnaire,receivequestionnaireresponse,10.0,20,5,synthetic_data,xgboost
register,lowinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,createquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendquestionnaire,receivequestionnaireresponse,10.0,20,6,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,sendnotificationbyemail,skipquestionnaire,preparenotificationcontent,sendnotificationbypost,receivequestionnaireresponse,10.0,20,7,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,preparenotificationcontent,sendnotificationbypost,receivequestionnaireresponse,archive,receivequestionnaireresponse,10.0,20,8,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,10.0,20,9,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,sendquestionnaire,receivequestionnaireresponse,15.0,20,10,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbypost,sendnotificationbyemail,sendquestionnaire,15.0,20,11,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,skipquestionnaire,archive,15.0,20,12,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,receivequestionnaireresponse,archive,15.0,20,13,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,skipquestionnaire,archive,15.0,20,14,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbypost,sendnotificationbyemail,sendquestionnaire,20.0,20,15,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,receivequestionnaireresponse,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbypost,sendnotificationbyemail,sendnotificationbypost,20.0,20,16,synthetic_data,xgboost
register,highmedicalhistory,highmedicalhistory,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,skipquestionnaire,preparenotificationcontent,skipquestionnaire,receivequestionnaireresponse,20.0,20,17,synthetic_data,xgboost
register,highinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,preparenotificationcontent,sendnotificationbyphone,skipquestionnaire,skipquestionnaire,20.0,20,18,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,preparenotificationcontent,sendnotificationbyphone,skipquestionnaire,skipquestionnaire,20.0,20,19,synthetic_data,xgboost
register,createquestionnaire,lowinsurancecheck,lowmedicalhistory,rejectclaim,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,5.0,21,0,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,createquestionnaire,createquestionnaire,highmedicalhistory,sendquestionnaire,receivequestionnaireresponse,archive,0,sendquestionnaire,5.0,21,1,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,createquestionnaire,rejectclaim,preparenotificationcontent,sendquestionnaire,sendnotificationbypost,archive,0,sendnotificationbypost,5.0,21,2,synthetic_data,xgboost
register,lowmedicalhistory,highinsurancecheck,createquestionnaire,rejectclaim,preparenotificationcontent,sendquestionnaire,acceptclaim,archive,archive,sendnotificationbyemail,5.0,21,3,synthetic_data,xgboost
register,createquestionnaire,lowmedicalhistory,rejectclaim,rejectclaim,preparenotificationcontent,sendquestionnaire,sendquestionnaire,receivequestionnaireresponse,0,sendnotificationbypost,5.0,21,4,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,10.0,21,5,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,10.0,21,6,synthetic_data,xgboost
register,createquestionnaire,lowmedicalhistory,lowinsurancecheck,rejectclaim,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,10.0,21,7,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,contacthospital,rejectclaim,highmedicalhistory,sendquestionnaire,receivequestionnaireresponse,skipquestionnaire,archive,0,10.0,21,8,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,acceptclaim,acceptclaim,acceptclaim,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,0,0,10.0,21,9,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,rejectclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,15.0,21,10,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,15.0,21,11,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,15.0,21,12,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,15.0,21,13,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,rejectclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,15.0,21,14,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,20.0,21,15,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,20.0,21,16,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,20.0,21,17,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,0,20.0,21,18,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,rejectclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,20.0,21,19,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,sendquestionnaire,receivequestionnaireresponse,5.0,20,0,synthetic_data,xgboost
register,highmedicalhistory,sendquestionnaire,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,sendnotificationbyphone,sendnotificationbypost,0,5.0,20,1,synthetic_data,xgboost
register,0,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,skipquestionnaire,archive,sendnotificationbyemail,0,5.0,20,2,synthetic_data,xgboost
register,0,0,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbyemail,sendnotificationbyphone,5.0,20,3,synthetic_data,xgboost
