prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,desired_cfs,idx,test_id,dataset,black_box
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,sendnotificationbyphone,5.0,20,0,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,5.0,20,1,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,5.0,20,2,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbyemail,5.0,20,3,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyemail,sendnotificationbypost,5.0,20,4,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,10.0,20,5,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyemail,sendnotificationbyphone,10.0,20,6,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendquestionnaire,preparenotificationcontent,sendnotificationbyphone,10.0,20,7,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,10.0,20,8,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,10.0,20,9,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendquestionnaire,preparenotificationcontent,sendnotificationbyphone,15.0,20,10,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,15.0,20,11,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,skipquestionnaire,preparenotificationcontent,15.0,20,12,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbyemail,15.0,20,13,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbypost,15.0,20,14,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,sendnotificationbyphone,20.0,20,15,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,20.0,20,16,synthetic_data,xgboost
