dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,1,5,5,0.02149,4.274811,4.296301,0.0,0.0,0.3428571428571428,0.3428571428571428,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.125,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.4375,0.4375,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.25,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.0,0.0875,0.0875,1.2,0.15,1.714285714285714,0.3428571428571428,0.3428571428571428,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,1,10,10,0.02149,4.803672,4.825162,0.0,0.0,0.41428571428571426,0.41428571428571426,0.3625,0.3625,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.625,0.0,0.0,0.3809523809523809,0.3809523809523809,0.33333333333333326,0.33333333333333326,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.0,0.075,0.075,1.45,0.18125,4.142857142857142,0.41428571428571426,0.41428571428571426,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,1,15,15,0.02149,5.519136,5.540626,0.0,0.0,0.37142857142857133,0.37142857142857133,0.3249999999999999,0.3249999999999999,0.3249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.625,0.0,0.0,0.42448979591836733,0.42448979591836733,0.37142857142857144,0.37142857142857144,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.0,0.08666666666666667,0.08666666666666667,1.3,0.1625,5.57142857142857,0.37142857142857133,0.37142857142857133,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,1,20,20,0.02149,6.300679,6.322169,0.0,0.0,0.41428571428571426,0.41428571428571426,0.3625,0.3625,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.75,0.0,0.0,0.5488721804511277,0.5488721804511277,0.4802631578947368,0.4802631578947368,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.0,0.1140625,0.1140625,1.45,0.18125,8.285714285714285,0.41428571428571426,0.41428571428571426,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,2,5,5,0.02149,3.675676,3.697166,0.0,0.0,0.42857142857142855,0.42857142857142855,0.375,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.625,0.0,0.0,0.6142857142857142,0.6142857142857142,0.5375,0.5375,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.25,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.0,0.1075,0.1075,1.5,0.1875,3.1428571428571423,0.6285714285714284,0.6285714285714284,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,2,10,10,0.02149,4.55787,4.57936,0.0,0.0,0.3857142857142857,0.3857142857142857,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5,0.0,0.0,0.5079365079365078,0.5079365079365078,0.4444444444444443,0.4444444444444443,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.0,0.1,0.1,1.35,0.16875,6.428571428571428,0.6428571428571428,0.6428571428571428,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,2,15,15,0.02149,5.550815,5.572305,0.0,0.0,0.45714285714285724,0.45714285714285724,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.625,0.0,0.0,0.5687074829931972,0.5687074829931972,0.4976190476190475,0.4976190476190475,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.0,0.11611111111111111,0.11611111111111111,1.6,0.2,10.57142857142857,0.7047619047619046,0.7047619047619046,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,7,2,20,20,0.02149,6.208733,6.230223,0.0,0.0,0.36428571428571427,0.36428571428571427,0.31875,0.31875,0.31875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.625,0.625,0.625,0.0,0.0,0.5067669172932331,0.5067669172932331,0.44342105263157894,0.44342105263157894,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.8571428571428571,0.8571428571428571,0.75,0.75,0.0,0.1053125,0.1053125,1.275,0.159375,12.428571428571427,0.6214285714285713,0.6214285714285713,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf,baseline,7,1,5,5,0.013637,4.695015,4.708652,0.0,0.0,0.11428571428571428,0.11428571428571428,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.125,0.0,0.0,0.2,0.2,0.17500000000000002,0.17500000000000002,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.2857142857142857,0.2857142857142857,0.25,0.25,0.0,0.035,0.035,0.4,0.05,0.5714285714285714,0.11428571428571428,0.11428571428571428,1.0
synthetic_data,heuristic_1,xgboost,genetic_ltlf,baseline,7,1,10,10,0.013637,5.49327,5.506907,0.0,0.0,0.2,0.2,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.5,0.0,0.0,0.31111111111111106,0.31111111111111106,0.2722222222222222,0.2722222222222222,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.5,0.0,0.06125,0.06125,0.7,0.0875,1.9999999999999996,0.19999999999999996,0.19999999999999996,1.0
